date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:43:07	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Wed,%2002%20Aug%202023%2011:13:08%20GMT	https://ansh-artis.webflow.io/robots.txt		(from )
16:43:07	15064/15064	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Aug%202023%2011:13:08%20GMT	https://ansh-artis.webflow.io/	D:/My%20website/WEb2/ansh-artis.webflow.io/index.html	(from )
16:43:08	95894/95894	---M-Z	200	added ('OK')	text/css	etag:%2240f2d1d2650da676485810ca218fa145%22	https://uploads-ssl.webflow.com/64c563e14156d465b62c94d3/css/ansh-artis.webflow.07500537c.css	D:/My%20website/WEb2/uploads-ssl.webflow.com/64c563e14156d465b62c94d3/css/ansh-artis.webflow.07500537c.css	(from https://ansh-artis.webflow.io/)
16:43:08	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	D:/My%20website/WEb2/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://ansh-artis.webflow.io/)
16:43:09	3290/3290	---M--	200	added ('OK')	image/png	etag:%225d19a6dc030c169dc83ff100058d12a5%22	https://uploads-ssl.webflow.com/img/webclip.png	D:/My%20website/WEb2/uploads-ssl.webflow.com/img/webclip.png	(from https://ansh-artis.webflow.io/)
16:43:10	668221/668221	---M--	200	added ('OK')	image/png	etag:%22e9a2118e265b2e5852beff05eb3dc9a0%22	https://uploads-ssl.webflow.com/64c563e14156d465b62c94d3/64c5e91be4f6aebb9d693d87_Screenshot-2023-07-28-123646-1.png	D:/My%20website/WEb2/uploads-ssl.webflow.com/64c563e14156d465b62c94d3/64c5e91be4f6aebb9d693d87_Screenshot-2023-07-28-123646-1.png	(from https://ansh-artis.webflow.io/)
16:43:10	1647016/1647016	---M--	200	added ('OK')	image/png	etag:%2294a4ab4402192012bfd819c3d8acb8e6%22	https://uploads-ssl.webflow.com/64c563e14156d465b62c94d3/64c5e91c6f582e453f36f026_2-5-1.png	D:/My%20website/WEb2/uploads-ssl.webflow.com/64c563e14156d465b62c94d3/64c5e91c6f582e453f36f026_2-5-1.png	(from https://ansh-artis.webflow.io/)
16:43:11	55237/55237	---M--	200	added ('OK')	image/png	etag:%2295f97e1d149bc5fd75e91aed239d23d8%22	https://uploads-ssl.webflow.com/64c563e14156d465b62c94d3/64c5f3f8e0e89e9a9fab0b53_Image.png	D:/My%20website/WEb2/uploads-ssl.webflow.com/64c563e14156d465b62c94d3/64c5f3f8e0e89e9a9fab0b53_Image.png	(from https://ansh-artis.webflow.io/)
16:43:11	1127243/1127243	---M--	200	added ('OK')	image/png	etag:%22abeb8b18f45e1da1ad88808312e008e5%22	https://uploads-ssl.webflow.com/64c563e14156d465b62c94d3/64c5713f4b6cce8852e454fe_vlcsnap-2023-07-28-09h50m14s500-1.png	D:/My%20website/WEb2/uploads-ssl.webflow.com/64c563e14156d465b62c94d3/64c5713f4b6cce8852e454fe_vlcsnap-2023-07-28-09h50m14s500-1.png	(from https://ansh-artis.webflow.io/)
16:43:11	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Wed,%2002%20Aug%202023%2011:13:12%20GMT	https://ansh-artis.webflow.io/project-web-pages/lightcore	D:/My%20website/WEb2/ansh-artis.webflow.io/project-web-pages/lightcore	(from https://ansh-artis.webflow.io/)
16:43:11	5330/5330	---M--	200	added ('OK')	image/png	etag:%2221e2c2b7608042e7f5f676edc813b8c0%22	https://uploads-ssl.webflow.com/64c563e14156d465b62c94d3/64c93b3eed962a0e3b746ea6_linkedin%20(1).png	D:/My%20website/WEb2/uploads-ssl.webflow.com/64c563e14156d465b62c94d3/64c93b3eed962a0e3b746ea6_linkedin%20(1).png	(from https://ansh-artis.webflow.io/)
16:43:12	202509/202509	---M--	200	added ('OK')	image/png	etag:%22dd154a4b4ae37a90ee63479e9fa1ef31%22	https://uploads-ssl.webflow.com/64c563e14156d465b62c94d3/64c93ab44858851033fd1362_pngwing.com.png	D:/My%20website/WEb2/uploads-ssl.webflow.com/64c563e14156d465b62c94d3/64c93ab44858851033fd1362_pngwing.com.png	(from https://ansh-artis.webflow.io/)
16:43:13	6165/6165	---M--	200	added ('OK')	image/png	etag:%2234a633115e26209752de13f76fb9c772%22	https://uploads-ssl.webflow.com/64c563e14156d465b62c94d3/64c93adecfde4926a7b55b8a_twitter-black-shape.png	D:/My%20website/WEb2/uploads-ssl.webflow.com/64c563e14156d465b62c94d3/64c93adecfde4926a7b55b8a_twitter-black-shape.png	(from https://ansh-artis.webflow.io/)
16:43:13	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=64c563e14156d465b62c94d3	D:/My%20website/WEb2/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c80b57.js	(from https://ansh-artis.webflow.io/)
16:43:13	62112/62112	---M-Z	200	added ('OK')	text/javascript	etag:%22ac35239a84433ff175e607494b4d9e29%22	https://uploads-ssl.webflow.com/64c563e14156d465b62c94d3/js/webflow.98f03f0dc.js	D:/My%20website/WEb2/uploads-ssl.webflow.com/64c563e14156d465b62c94d3/js/webflow.98f03f0dc.js	(from https://ansh-artis.webflow.io/)
16:43:13	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Wed,%2002%20Aug%202023%2011:13:14%20GMT	https://ansh-artis.webflow.io/project-web-pages/lightcore	D:/My%20website/WEb2/ansh-artis.webflow.io/project-web-pages/lightcore	(from https://ansh-artis.webflow.io/)
16:43:14	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Wed,%2002%20Aug%202023%2011:13:14%20GMT	https://ansh-artis.webflow.io/project-web-pages/lightcore	D:/My%20website/WEb2/ansh-artis.webflow.io/project-web-pages/lightcore	(from https://ansh-artis.webflow.io/)
